question,choices,answer,level,subject
Excited states of the helium atom can be characterized as para- (antiparallel electron spins) and ortho- (parallel electron spins). The observation that an ortho- state has lower energy than the corresponding para- state can be understood in terms of which of the following?,"['A. The Heisenberg uncertainty principle', 'B. The Pauli exclusion principle', 'C. The Bohr model of the atom', 'D. Nuclear hyperfine coupling']",B. The Pauli exclusion principle,college,physics
"In a nonrelativistic, one-dimensional collision, a particle of mass 2m collides with a particle of mass m at rest. If the particles stick together after the collision, what fraction of the initial kinetic energy is lost in the collision?","['A. 0', 'B. 1/4', 'C. 1/3', 'D. 1/2']",C. 1/3,college,physics
The mean kinetic energy of the conduction electrons in metals is ordinarily much higher than kT because,"['A. electrons have many more degrees of freedom than atoms do', 'B. the electrons and the lattice are not in thermal equilibrium', 'C. the electrons form a degenerate Fermi gas', 'D. electrons in metals are highly relativistic']",C. the electrons form a degenerate Fermi gas,college,physics
Homo erectus is characterized by:,"['A. a sophisticated stone-tool technology, cooperative hunting, and the controlled use of fire.', 'B. a primitive stone-tool technology, the sophisticated use of wood to construct shelters, and the earliest known gardening.', 'C. cooperative hunting, the controlled use of fire, and elaborate burials with many grave goods.', 'D. a primitive stone-tool technology, the first evidence for fishing, and the construction of stone buildings.']","A. a sophisticated stone-tool technology, cooperative hunting, and the controlled use of fire.",college,prehistory
Recent genomic analyses of Neandertals and modern human populations indicate that:,"['A. between 1% and 4% of the genome of modern humans with European and Asian ancestry originated from Neandertal populations, most likely through interbreeding.', 'B. Neandertal populations were entirely distinct and separate from anatomically modern humans, with no evidence of interbreeding.', 'C. anatomically modern humans throughout the world uniformly share approximately 16% of their genome with Neandertal populations.', 'D. modern Africans share more than 4% of their genome with Neandertals, far greater than modern European and Asian populations, indicating a lengthier time of successful interbreeding.']","A. between 1% and 4% of the genome of modern humans with European and Asian ancestry originated from Neandertal populations, most likely through interbreeding.",college,prehistory
"According to the author, what did the Olmec have in common that bound them together in different territories?","['A. underlying religious beliefs, as seen in Olmec art and iconography', 'B. agricultural surpluses that led to the creation of economic inequalities', 'C. they spoke the same language and were related by kinship and marriage', 'D. a system of trade and exchange, as seen in tokens used as a form of money']","A. underlying religious beliefs, as seen in Olmec art and iconography",college,prehistory
what is one of the important differences between the middle and upper paleolithic?,"['A. decreased use of imported raw materials and increased use of whatever was locally available', 'B. smaller sites, indicating a change from large roving bands of hunters to the earliest family groups and households', 'C. a profusion of stone tool traditions, indicating a change from temporal and geographic homogeneity to greater diversity and variability', 'D. a gradual decline in the use of stone hand axes and tools, indicating a change to more flexible and workable materials such as wood and bone']","C. a profusion of stone tool traditions, indicating a change from temporal and geographic homogeneity to greater diversity and variability",college,prehistory
"Which of the following first described human culture according to a predictable chronology of a Stone Age, Bronze Age, and Iron Age?","['A. uniformitarianism', 'B. multilinear evolution', 'C. three-age system', 'D. . triple-age catastrophism']",C. three-age system,college,prehistory
"At its peak, the population of the city of Teotihuacán may have reached:","['A. 50,000 people.', 'B. 200,000 people.', 'C. 500,000 people.', 'D. 1,000,000 people.']","B. 200,000 people.",college,prehistory
A place where people lived and/or worked and where the physical evidence of their existence can be recovered is an archaeological:,"['A. artifact.', 'B. sample.', 'C. site.', 'D. culture.']",C. site.,college,prehistory
The Nazca geoglyphs extend over miles and represent:,"['A. entrances to subterranean tombs of the elite.', 'B. vast architectural designs for cities and towns.', 'C. ceremonial pathways and effigies of spirits and gods.', 'D. landing strips for spaceships.']",C. ceremonial pathways and effigies of spirits and gods.,college,prehistory
Homo erectus is most closely associated with which tool-making tradition?,"['A. Occipital', 'B. Acheulean', 'C. Oldowan', 'D. Stadial']",B. Acheulean,college,prehistory
Machu Picchu was built in the mountains as a:,"['A. defensive stronghold.', 'B. shrine to the Inca rain god.', 'C. relaxing getaway for elites.', 'D. astronomical observatory.']",C. relaxing getaway for elites.,college,prehistory
A pattern of social integration in which individuals are placed into a hierarchy of social levels is called:,"['A. urbanization.', 'B. a social system.', 'C. social stratification.', 'D. a necropolis.']",C. social stratification.,college,prehistory
Researchers now believe that the decline of the Maya was caused chiefly by:,"['A. a cataclysm of some kind, such as an earthquake, volcano, or tsunami.', 'B. ecological degradation resulting from slash-and-burn farming techniques.', 'C. endless wars between neighboring Mayan city-states.', 'D. practices of interbreeding that led to a steep rise in congenital disorders.']",B. ecological degradation resulting from slash-and-burn farming techniques.,college,prehistory
What evidence is there that Neandertals were hunters?,"['A. Neandertal canine teeth showed that they relied only on meat for their subsistence.', 'B. Animal bones were found showing stone tool cut marks and no animal teeth marks.', 'C. Bones of large animals, such as elephant and horse, were found in caves.', 'D. Both A and C.']",B. Animal bones were found showing stone tool cut marks and no animal teeth marks.,college,prehistory
A person who believes that the current appearance of the earth can be best explained as having resulted from a series of natural disasters is known as a(n):,"['A. paleoanthropologist.', 'B. natural scientist.', 'C. evolutionist.', 'D. catastrophist.']",D. catastrophist.,college,prehistory
"The construction of large-scale features, such as mounds and shell middens, is often taken by archaeologists as evidence of:","['A. the practice of slavery.', 'B. social and political complexity.', 'C. a Mesolithic tradition.', 'D. the shift from Paleolithic to Neolithic.']",B. social and political complexity.,college,prehistory
The middle classes that developed over the nineteenth century were:,"['A. an urban set, involved in civic bodies and voluntary associations', 'B. too diverse to have a strong sense of class consciousness', ""C. often involved in 'white collar' work"", 'D. all of the above']",D. all of the above,college,sociology
Which of the following is not a consequence of global tourism?,"['A. decreased rates of prostitution and sex tourism', 'B. developing countries can depend on it as a crucial source of income', 'C. the exploitation of cheap, unregulated labour in poor countries', ""D. we have become more aware of 'other' societies and ways of living""]",A. decreased rates of prostitution and sex tourism,college,sociology
Structural-Functionalists describe society as:,"['A. a complex network of interaction at a micro-level', 'B. a source of conflict, inequality, and alienation', 'C. an unstable structure of social relations', 'D. a normative framework of roles and institutions']",D. a normative framework of roles and institutions,college,sociology
"In their study of depression, Brown & Harris (1978) found that:","[""A. women's susceptibility to stress depended on their levels of social support"", 'B. self-reported depression is highest amongst men and the relatively affluent', 'C. men and women have fairly similar levels of diagnosed depression', 'D. men are more vulnerable to depression because of conventional gender roles']",A. women's susceptibility to stress depended on their levels of social support,college,sociology
Which of the following is not a problem associated with official statistics on strike action?,"['A. most strikes go unnoticed by employers and the mass media', 'B. not all industrial disputes will be reported by the employer', 'C. the definition of strikes excludes those that involve fewer than ten workers or last less than one day', 'D. it is hard to compare strikes that were measured in different ways']",A. most strikes go unnoticed by employers and the mass media,college,sociology
Butler & Stokes (1969) suggested that working class support for the Labour Party arose from:,"['A. socialization into working class families and communities', 'B. rational calculation of self-interest', 'C. issue-based concerns about culture and lifestyle', 'D. false consciousness and the acceptance of hegemonic values']",A. socialization into working class families and communities,college,sociology
One of the ethical problems with covert participant observation is:,"['A. not being able to write comprehensive fieldnotes or record conversations', 'B. deceiving the respondents as to the reason for your presence', 'C. observing people outside of their natural setting', 'D. subjecting the participants to physical harm']",B. deceiving the respondents as to the reason for your presence,college,sociology
